Trip.Start.Timestamp,Trip.End.Timestamp,Trip.Seconds,Trip.Miles,Pickup.Community.Area,Dropoff.Community.Area,Fare,Tips,Tolls,Extras,Trip.Total,Payment.Type
9/30/2015 20:30,9/30/2015 20:45,420,0,24,22,6.45,0.00,0.00,1.00,7.45,Cash
2/16/2013 0:30,2/16/2013 0:30,0,0,8,NA,9.85,0.00,0.00,0.00,9.85,Cash
4/2/2015 23:30,4/2/2015 23:30,360,1.02,8,6,6.05,0.00,0.00,1.00,7.05,Cash
3/15/2013 23:30,3/15/2013 23:45,540,0,28,8,8.85,0.00,0.00,1.00,9.85,Cash
4/22/2013 6:30,4/22/2013 6:45,600,1.2,NA,NA,11.25,0.00,0.00,0.00,11.25,Cash
12/2/2015 22:30,12/2/2015 22:30,0,0,NA,NA,9.45,3.55,0.00,0.00,13.00,Credit Card
2/5/2016 6:30,2/5/2016 7:00,1800,0.2,2,2,17.50,0.00,0.00,0.00,17.50,Cash
1/17/2014 12:45,1/17/2014 13:15,1560,17.6,28,76,36.45,7.69,0.00,2.00,46.14,Credit Card
2/8/2016 4:45,2/8/2016 4:45,0,0,77,77,3.25,0.00,0.00,0.00,3.25,Cash
6/16/2015 12:30,6/16/2015 12:30,480,1.3,NA,NA,6.65,2.00,0.00,0.00,8.65,Credit Card
10/4/2014 1:30,10/4/2014 1:30,0,0,NA,NA,10.05,2.51,0.00,0.00,12.56,Credit Card
12/6/2014 5:30,12/6/2014 5:45,780,5,8,22,13.05,2.60,0.00,0.00,15.65,Credit Card
1/2/2015 22:00,1/2/2015 22:00,0,0,NA,NA,4.05,0.81,0.00,0.00,4.86,Credit Card
3/12/2014 10:45,3/12/2014 11:00,900,0.2,7,32,12.65,0.00,0.00,1.00,13.65,Cash
7/31/2014 22:15,7/31/2014 22:15,0,0,NA,NA,8.05,0.00,0.00,0.00,8.05,Credit Card
4/1/2014 7:30,4/1/2014 7:30,240,0.8,28,32,5.25,0.00,0.00,0.00,5.25,Cash
12/16/2015 15:00,12/16/2015 15:00,0,0,32,32,3.25,1.00,0.00,4.00,8.25,Credit Card
7/11/2013 5:00,7/11/2013 5:15,300,0,32,32,5.85,1.00,0.00,0.00,6.85,Credit Card
6/21/2013 23:45,6/22/2013 0:00,1260,0,21,77,15.25,0.00,0.00,0.00,15.25,Cash
11/14/2014 18:45,11/14/2014 18:45,600,1.4,NA,NA,7.25,1.75,0.00,0.00,9.00,Credit Card
2/11/2014 10:30,2/11/2014 10:30,0,0,NA,NA,9.65,1.93,0.00,0.00,11.58,Credit Card
5/22/2014 0:30,5/22/2014 0:45,540,2.8,33,8,9.25,2.00,0.00,1.00,12.25,Credit Card
4/21/2016 12:45,4/21/2016 12:45,120,0,32,32,4.25,0.00,0.00,0.00,4.25,Cash
11/25/2013 22:15,11/25/2013 22:30,780,3.9,NA,NA,11.05,1.81,0.00,1.00,13.86,Credit Card
6/30/2017 4:00,6/30/2017 4:15,540,0,4,15,11.25,0.00,0.00,0.00,11.25,Cash
2/24/2015 10:30,2/24/2015 10:30,180,0.4,28,28,4.45,0.00,0.00,0.50,4.95,Cash
2/19/2014 9:30,2/19/2014 9:30,0,0,NA,NA,6.25,1.25,0.00,0.00,7.50,Credit Card
5/27/2017 1:15,5/27/2017 1:30,720,3.8,NA,NA,12.50,0.00,0.00,1.00,13.50,Cash
11/5/2015 15:15,11/5/2015 15:30,600,0.8,NA,NA,6.65,2.00,0.00,1.00,9.65,Credit Card
8/14/2015 12:45,8/14/2015 13:00,300,0.8,32,8,5.45,0.00,0.00,0.00,5.45,Cash
7/11/2017 18:15,7/11/2017 18:30,480,0.7,32,28,6.50,2.00,0.00,1.00,9.50,Credit Card
4/21/2015 21:15,4/21/2015 21:15,0,0,NA,NA,4.65,1.00,0.00,0.00,5.65,Credit Card
9/5/2013 17:45,9/5/2013 18:00,780,2.4,6,7,9.05,0.00,0.00,0.00,9.05,Cash
6/23/2017 14:15,6/23/2017 14:30,540,0,8,8,6.75,0.00,0.00,0.00,6.75,Cash
10/19/2016 18:15,10/19/2016 18:30,1260,1.5,8,24,10.75,2.15,0.00,0.00,12.90,Credit Card
4/22/2016 11:00,4/22/2016 11:15,600,2.6,NA,NA,10.50,0.00,0.00,1.50,12.00,Cash
7/18/2013 20:30,7/18/2013 20:45,1200,2,NA,NA,11.05,0.00,0.00,0.00,11.05,Cash
4/23/2013 14:15,4/23/2013 14:15,120,0.3,32,32,3.85,0.00,0.00,0.00,3.85,Cash
7/19/2016 22:15,7/19/2016 22:30,120,0.5,28,28,4.25,0.00,0.00,1.00,5.25,Cash
2/7/2017 16:30,2/7/2017 16:30,540,2.6,32,33,9.50,1.50,0.00,0.00,11.00,Credit Card
3/6/2014 22:30,3/6/2014 22:30,360,0,32,24,6.05,0.00,0.00,0.00,6.05,Cash
11/23/2013 21:00,11/23/2013 21:00,780,0,NA,NA,7.65,0.00,0.00,1.00,8.65,Cash
6/17/2014 22:00,6/17/2014 22:00,0,0,7,7,3.25,0.00,0.00,0.00,3.25,Cash
3/23/2015 9:45,3/23/2015 10:00,540,0,32,8,6.85,0.00,0.00,2.00,8.85,Credit Card
1/22/2014 19:15,1/22/2014 19:30,1200,6.9,76,15,16.45,0.00,0.00,2.00,18.45,Cash
4/14/2016 9:15,4/14/2016 9:15,0,0,NA,NA,11.75,2.35,0.00,0.00,14.10,Credit Card
2/26/2014 1:30,2/26/2014 1:45,660,2.3,7,6,8.65,0.00,0.00,1.50,10.15,Cash
9/14/2014 18:00,9/14/2014 18:15,1140,3.8,3,6,12.05,3.00,0.00,0.00,15.05,Credit Card
8/3/2016 8:45,8/3/2016 8:45,180,0.4,NA,NA,4.50,0.00,0.00,0.00,4.50,Cash
8/5/2014 20:15,8/5/2014 20:30,360,1.7,28,28,6.85,0.00,0.00,1.50,8.35,Cash
10/3/2014 14:15,10/3/2014 14:30,360,0.6,NA,NA,5.25,0.00,0.00,1.50,6.75,Cash
5/3/2015 15:45,5/3/2015 16:30,2940,18.3,76,8,38.25,8.05,0.00,2.00,48.30,Credit Card
3/11/2016 15:30,3/11/2016 15:45,600,1,8,32,7.75,0.00,0.00,0.00,7.75,Cash
